dateTime,ozone,temperature,pressure,voltage,sensorTime
2020-12-04 00:04:06.159622,2.1,31.3,962.3,1593,"03/12/20,17:08:35"
2020-12-04 00:04:16.163286,3.9,31.3,960.9,1601,"03/12/20,17:08:45"
2020-12-04 00:04:26.168474,8.1,31.3,962.1,1620,"03/12/20,17:08:55"
2020-12-04 00:04:36.158694,5.1,31.3,961.2,1595,"03/12/20,17:09:05"
2020-12-04 00:04:46.168473,1.6,31.3,962.1,1579,"03/12/20,17:09:15"
2020-12-04 00:04:56.158472,3.1,31.3,960.8,1587,"03/12/20,17:09:25"
2020-12-04 00:05:06.156664,2.2,31.3,962.1,1578,"03/12/20,17:09:35"
2020-12-04 00:05:16.156497,1.2,31.3,961.2,1603,"03/12/20,17:09:45"
2020-12-04 00:05:26.155676,-1.4,31.3,962.2,1596,"03/12/20,17:09:55"
2020-12-04 00:05:36.156489,-1.0,31.3,960.9,1573,"03/12/20,17:10:05"
2020-12-04 00:05:46.158655,3.1,31.3,962.3,1581,"03/12/20,17:10:15"
2020-12-04 00:05:56.152587,3.9,31.3,961.2,1581,"03/12/20,17:10:25"
2020-12-04 00:06:06.154071,5.7,31.3,962.4,1606,"03/12/20,17:10:35"
2020-12-04 00:06:16.153549,4.1,31.3,960.9,1600,"03/12/20,17:10:45"
2020-12-04 00:06:26.158709,0.3,31.3,962.3,1604,"03/12/20,17:10:55"
2020-12-04 00:06:36.155476,0.7,31.3,961.0,1592,"03/12/20,17:11:05"
2020-12-04 00:06:46.159514,3.3,31.3,962.2,1589,"03/12/20,17:11:15"
2020-12-04 00:06:56.158361,6.4,31.3,961.1,1608,"03/12/20,17:11:25"
2020-12-04 00:07:06.148877,3.9,31.3,962.2,1585,"03/12/20,17:11:35"
2020-12-04 00:07:16.155223,-0.3,31.3,961.2,1594,"03/12/20,17:11:45"
2020-12-04 00:07:26.151530,-1.3,31.3,962.2,1590,"03/12/20,17:11:54"
2020-12-04 00:07:36.148336,3.8,31.3,961.0,1595,"03/12/20,17:12:04"
2020-12-04 00:07:46.150728,7.2,31.3,962.1,1585,"03/12/20,17:12:14"
2020-12-04 00:07:56.154419,8.0,31.3,961.1,1586,"03/12/20,17:12:24"
2020-12-04 00:08:06.158510,8.0,31.3,962.2,1581,"03/12/20,17:12:34"
2020-12-04 00:08:16.145823,3.8,31.3,961.2,1582,"03/12/20,17:12:44"
2020-12-04 00:08:26.145208,3.8,31.3,962.1,1601,"03/12/20,17:12:54"
2020-12-04 00:08:36.150134,3.1,31.3,961.1,1567,"03/12/20,17:13:04"
2020-12-04 00:08:46.144062,3.9,31.3,962.5,1606,"03/12/20,17:13:14"
2020-12-04 00:08:56.148411,8.3,31.3,961.1,1582,"03/12/20,17:13:24"
2020-12-04 00:09:06.142809,7.5,31.3,962.1,1582,"03/12/20,17:13:34"
2020-12-04 00:09:16.144302,4.3,31.3,960.9,1595,"03/12/20,17:13:44"
2020-12-04 00:09:26.144658,3.6,31.3,962.1,1597,"03/12/20,17:13:54"
2020-12-04 00:09:36.143479,0.5,31.3,961.0,1588,"03/12/20,17:14:04"
2020-12-04 00:09:46.146399,-3.5,31.3,962.3,1596,"03/12/20,17:14:14"
2020-12-04 00:09:56.140117,2.0,31.3,961.1,1571,"03/12/20,17:14:24"
2020-12-04 00:10:06.141317,4.7,31.3,962.4,1592,"03/12/20,17:14:34"
2020-12-04 00:10:16.140665,2.8,31.3,960.9,1582,"03/12/20,17:14:44"
2020-12-04 00:10:26.139107,2.1,31.3,962.1,1607,"03/12/20,17:14:54"
2020-12-04 00:10:36.147168,-0.6,31.3,960.9,1573,"03/12/20,17:15:04"
2020-12-04 00:10:46.139558,1.4,31.3,962.2,1601,"03/12/20,17:15:14"
2020-12-04 00:10:56.137096,5.4,31.3,961.1,1587,"03/12/20,17:15:24"
2020-12-04 00:11:06.138588,-1.4,31.3,962.2,1584,"03/12/20,17:15:34"
2020-12-04 00:11:16.141364,-5.0,31.3,961.0,1580,"03/12/20,17:15:44"
2020-12-04 00:11:26.136632,-3.8,31.3,962.0,1599,"03/12/20,17:15:54"
2020-12-04 00:11:36.136894,0.1,31.3,961.1,1584,"03/12/20,17:16:04"
2020-12-04 00:11:46.138554,3.4,31.3,962.4,1602,"03/12/20,17:16:14"
2020-12-04 00:11:56.134468,2.3,31.3,961.1,1582,"03/12/20,17:16:24"
2020-12-04 00:12:06.133252,5.0,31.3,962.2,1590,"03/12/20,17:16:34"
2020-12-04 00:12:16.132782,7.7,31.2,961.0,1599,"03/12/20,17:16:44"
2020-12-04 00:12:26.138456,7.0,31.2,962.1,1597,"03/12/20,17:16:54"
2020-12-04 00:12:36.137658,8.9,31.3,960.9,1586,"03/12/20,17:17:04"
2020-12-04 00:12:46.138356,8.0,31.3,962.3,1624,"03/12/20,17:17:14"
2020-12-04 00:12:56.136135,-0.6,31.2,961.0,1587,"03/12/20,17:17:24"
2020-12-04 00:13:06.133274,1.9,31.2,962.1,1598,"03/12/20,17:17:34"
2020-12-04 00:13:16.137244,6.3,31.2,960.8,1594,"03/12/20,17:17:44"
2020-12-04 00:13:26.130701,4.9,31.2,962.5,1598,"03/12/20,17:17:54"
2020-12-04 00:13:36.130554,1.2,31.2,961.1,1589,"03/12/20,17:18:04"
2020-12-04 00:13:46.133523,2.7,31.2,962.5,1599,"03/12/20,17:18:14"
2020-12-04 00:13:56.128466,5.7,31.2,961.0,1597,"03/12/20,17:18:24"
2020-12-04 00:14:06.126675,7.5,31.2,962.3,1587,"03/12/20,17:18:34"
2020-12-04 00:14:16.138621,8.0,31.1,961.0,1588,"03/12/20,17:18:44"
2020-12-04 00:14:26.138351,4.7,31.1,962.3,1595,"03/12/20,17:18:54"
2020-12-04 00:14:36.125811,0.2,31.2,960.9,1599,"03/12/20,17:19:04"
2020-12-04 00:14:46.125783,-2.4,31.2,962.3,1590,"03/12/20,17:19:14"
2020-12-04 00:14:56.129862,0.1,31.2,961.0,1609,"03/12/20,17:19:24"
2020-12-04 00:15:06.123724,4.9,31.2,962.0,1589,"03/12/20,17:19:34"
2020-12-04 00:15:16.128391,6.2,31.2,961.0,1590,"03/12/20,17:19:44"
2020-12-04 00:15:26.128434,2.0,31.2,962.1,1595,"03/12/20,17:19:54"
2020-12-04 00:15:36.124264,-1.7,31.2,961.2,1603,"03/12/20,17:20:04"
2020-12-04 00:15:46.131007,-1.6,31.2,962.3,1579,"03/12/20,17:20:14"
2020-12-04 00:15:56.124023,-0.6,31.2,961.1,1606,"03/12/20,17:20:24"
2020-12-04 00:16:06.122368,-2.8,31.2,962.3,1610,"03/12/20,17:20:34"
2020-12-04 00:16:16.122655,1.7,31.2,960.9,1605,"03/12/20,17:20:44"
2020-12-04 00:16:26.121658,5.8,31.2,962.3,1596,"03/12/20,17:20:54"
2020-12-04 00:16:36.128012,3.6,31.2,961.2,1604,"03/12/20,17:21:04"
2020-12-04 00:16:46.120909,5.7,31.2,962.1,1572,"03/12/20,17:21:14"
2020-12-04 00:16:56.118016,6.4,31.2,961.1,1597,"03/12/20,17:21:24"
2020-12-04 00:17:06.118226,1.6,31.2,962.2,1605,"03/12/20,17:21:34"
2020-12-04 00:17:16.118308,2.2,31.2,961.0,1591,"03/12/20,17:21:44"
2020-12-04 00:17:26.124933,4.9,31.2,962.3,1591,"03/12/20,17:21:54"
2020-12-04 00:17:36.118543,3.1,31.2,961.3,1602,"03/12/20,17:22:04"
2020-12-04 00:17:46.118708,3.7,31.2,962.5,1601,"03/12/20,17:22:14"
2020-12-04 00:17:56.115618,3.4,31.2,961.0,1591,"03/12/20,17:22:24"
2020-12-04 00:18:06.138355,5.4,31.2,962.2,1593,"03/12/20,17:22:34"
2020-12-04 00:18:16.128483,4.8,31.2,961.1,1598,"03/12/20,17:22:44"
2020-12-04 00:18:26.116395,5.8,31.2,962.1,1590,"03/12/20,17:22:54"
2020-12-04 00:18:36.114642,7.4,31.2,961.2,1596,"03/12/20,17:23:04"
2020-12-04 00:18:46.119121,0.3,31.2,962.5,1609,"03/12/20,17:23:14"
2020-12-04 00:18:56.112923,3.6,31.2,960.9,1595,"03/12/20,17:23:24"
2020-12-04 00:19:06.126168,9.2,31.2,962.1,1604,"03/12/20,17:23:34"
2020-12-04 00:19:16.118354,7.6,31.2,961.4,1594,"03/12/20,17:23:44"
2020-12-04 00:19:26.112077,2.6,31.2,962.4,1613,"03/12/20,17:23:54"
2020-12-04 00:19:36.110417,2.7,31.2,961.0,1582,"03/12/20,17:24:04"
2020-12-04 00:19:46.118407,10.1,31.2,962.2,1594,"03/12/20,17:24:14"
2020-12-04 00:19:56.112483,8.6,31.2,961.0,1587,"03/12/20,17:24:24"
2020-12-04 00:20:06.108573,3.4,31.2,962.2,1595,"03/12/20,17:24:34"
2020-12-04 00:20:16.107945,4.9,31.2,960.9,1614,"03/12/20,17:24:44"
2020-12-04 00:20:26.108334,3.9,31.2,962.6,1589,"03/12/20,17:24:54"
2020-12-04 00:20:36.107522,0.5,31.2,961.0,1579,"03/12/20,17:25:04"
2020-12-04 00:20:46.118386,1.3,31.2,962.2,1588,"03/12/20,17:25:14"
2020-12-04 00:20:56.108352,3.4,31.2,961.0,1597,"03/12/20,17:25:24"
2020-12-04 00:21:06.108455,2.1,31.2,962.3,1597,"03/12/20,17:25:34"
2020-12-04 00:21:16.112373,0.3,31.2,961.0,1605,"03/12/20,17:25:44"
2020-12-04 00:21:26.104625,4.1,31.2,962.4,1587,"03/12/20,17:25:54"
2020-12-04 00:21:36.104327,3.0,31.2,961.1,1586,"03/12/20,17:26:04"
2020-12-04 00:21:46.102722,2.0,31.2,962.2,1587,"03/12/20,17:26:14"
2020-12-04 00:21:56.115751,5.2,31.2,961.0,1604,"03/12/20,17:26:24"
2020-12-04 00:22:06.101859,4.2,31.2,962.3,1608,"03/12/20,17:26:34"
2020-12-04 00:22:16.102459,4.2,31.2,961.0,1591,"03/12/20,17:26:44"
2020-12-04 00:22:26.101412,4.8,31.2,962.5,1618,"03/12/20,17:26:54"
2020-12-04 00:22:36.108331,5.0,31.2,961.1,1590,"03/12/20,17:27:04"
2020-12-04 00:22:46.106085,6.4,31.2,962.4,1593,"03/12/20,17:27:14"
2020-12-04 00:22:56.103024,1.2,31.2,961.0,1598,"03/12/20,17:27:24"
2020-12-04 00:23:06.106231,-1.3,31.2,962.3,1594,"03/12/20,17:27:34"
2020-12-04 00:23:16.101354,3.7,31.2,961.0,1590,"03/12/20,17:27:44"
2020-12-04 00:23:26.098558,2.6,31.2,962.5,1585,"03/12/20,17:27:54"
2020-12-04 00:23:36.108333,2.8,31.2,961.1,1584,"03/12/20,17:28:04"
2020-12-04 00:23:46.098676,2.3,31.2,962.1,1590,"03/12/20,17:28:14"
2020-12-04 00:23:56.098551,0.9,31.1,961.2,1596,"03/12/20,17:28:24"
2020-12-04 00:24:06.108784,2.1,31.1,962.4,1609,"03/12/20,17:28:34"
2020-12-04 00:24:16.100604,-0.1,31.2,961.1,1582,"03/12/20,17:28:44"
2020-12-04 00:24:26.094922,3.4,31.2,962.4,1623,"03/12/20,17:28:54"
2020-12-04 00:24:36.094427,3.7,31.1,961.0,1591,"03/12/20,17:29:04"
2020-12-04 00:24:46.095948,3.2,31.1,962.1,1586,"03/12/20,17:29:14"
2020-12-04 00:24:56.092907,9.7,31.1,960.9,1591,"03/12/20,17:29:24"
2020-12-04 00:25:06.093044,8.6,31.1,962.4,1601,"03/12/20,17:29:34"
2020-12-04 00:25:16.098358,6.6,31.1,961.0,1600,"03/12/20,17:29:44"
2020-12-04 00:25:26.093754,7.8,31.1,962.1,1595,"03/12/20,17:29:54"
2020-12-04 00:25:36.091132,6.9,31.1,961.1,1594,"03/12/20,17:30:04"
2020-12-04 00:25:46.098056,3.0,31.1,962.3,1577,"03/12/20,17:30:14"
2020-12-04 00:25:56.090189,2.3,31.1,960.9,1597,"03/12/20,17:30:24"
2020-12-04 00:26:06.090285,2.1,31.1,962.4,1579,"03/12/20,17:30:34"
2020-12-04 00:26:16.097445,1.0,31.1,960.9,1587,"03/12/20,17:30:44"
2020-12-04 00:26:26.088650,3.1,31.1,962.0,1587,"03/12/20,17:30:54"
2020-12-04 00:26:36.088870,7.3,31.1,961.1,1603,"03/12/20,17:31:04"
2020-12-04 00:26:46.088592,8.4,31.1,962.1,1600,"03/12/20,17:31:14"
2020-12-04 00:26:56.088616,4.1,31.1,961.1,1598,"03/12/20,17:31:24"
2020-12-04 00:27:06.088525,7.7,31.1,962.4,1613,"03/12/20,17:31:34"
2020-12-04 00:27:16.085378,7.6,31.1,960.9,1594,"03/12/20,17:31:44"
2020-12-04 00:27:26.088334,4.2,31.1,962.1,1582,"03/12/20,17:31:54"
2020-12-04 00:27:36.087233,6.5,31.1,961.0,1596,"03/12/20,17:32:04"
2020-12-04 00:27:46.085339,2.6,31.1,962.4,1595,"03/12/20,17:32:14"
2020-12-04 00:27:56.086031,-0.9,31.1,960.9,1612,"03/12/20,17:32:24"
2020-12-04 00:28:06.085433,2.4,31.1,962.4,1599,"03/12/20,17:32:34"
2020-12-04 00:28:16.082423,6.9,31.1,961.0,1602,"03/12/20,17:32:44"
2020-12-04 00:28:26.082694,5.6,31.1,962.2,1586,"03/12/20,17:32:54"
2020-12-04 00:28:36.086401,4.6,31.1,961.0,1597,"03/12/20,17:33:04"
2020-12-04 00:28:46.082231,7.4,31.1,962.2,1601,"03/12/20,17:33:14"
2020-12-04 00:28:56.087686,7.5,31.1,960.9,1595,"03/12/20,17:33:24"
2020-12-04 00:29:06.080780,6.9,31.1,962.1,1600,"03/12/20,17:33:34"
2020-12-04 00:29:16.079674,9.0,31.1,961.1,1599,"03/12/20,17:33:44"
2020-12-04 00:29:26.083154,9.3,31.1,962.3,1585,"03/12/20,17:33:54"
2020-12-04 00:29:36.081006,9.0,31.1,961.0,1595,"03/12/20,17:34:04"
2020-12-04 00:29:46.083505,6.7,31.1,962.3,1594,"03/12/20,17:34:14"
2020-12-04 00:29:56.077916,4.0,31.1,961.0,1588,"03/12/20,17:34:24"
2020-12-04 00:30:06.098321,-0.4,31.1,962.4,1601,"03/12/20,17:34:34"
2020-12-04 00:30:16.093308,0.7,31.1,961.0,1609,"03/12/20,17:34:44"
2020-12-04 00:30:26.076226,4.2,31.1,962.4,1591,"03/12/20,17:34:54"
2020-12-04 00:30:36.078336,3.8,31.1,961.2,1607,"03/12/20,17:35:04"
2020-12-04 00:30:46.078532,3.6,31.1,962.2,1597,"03/12/20,17:35:14"
2020-12-04 00:30:56.078483,1.5,31.1,961.0,1594,"03/12/20,17:35:24"
2020-12-04 00:31:06.073964,1.4,31.1,962.4,1590,"03/12/20,17:35:34"
2020-12-04 00:31:16.080968,0.7,31.1,961.0,1589,"03/12/20,17:35:44"
2020-12-04 00:31:26.078716,-0.7,31.1,962.2,1568,"03/12/20,17:35:54"
2020-12-04 00:31:36.074524,-0.9,31.1,961.0,1596,"03/12/20,17:36:04"
2020-12-04 00:31:46.083370,2.3,31.1,962.2,1587,"03/12/20,17:36:14"
2020-12-04 00:31:56.090395,2.0,31.1,961.1,1587,"03/12/20,17:36:24"
2020-12-04 00:32:06.072420,2.4,31.1,962.3,1592,"03/12/20,17:36:34"
2020-12-04 00:32:16.069965,4.8,31.1,961.1,1595,"03/12/20,17:36:44"
2020-12-04 00:32:26.078303,5.5,31.1,962.4,1572,"03/12/20,17:36:54"
2020-12-04 00:32:36.069097,7.2,31.1,961.2,1600,"03/12/20,17:37:04"
2020-12-04 00:32:46.070913,5.5,31.1,962.4,1603,"03/12/20,17:37:14"
2020-12-04 00:32:56.070689,1.5,31.1,961.0,1595,"03/12/20,17:37:24"
2020-12-04 00:33:06.068193,2.8,31.1,962.2,1591,"03/12/20,17:37:34"
2020-12-04 00:33:16.068915,1.3,31.1,961.2,1593,"03/12/20,17:37:44"
2020-12-04 00:33:26.084847,-0.3,31.1,962.5,1571,"03/12/20,17:37:54"
2020-12-04 00:33:36.066206,0.9,31.1,961.0,1594,"03/12/20,17:38:04"
2020-12-04 00:33:46.067388,3.4,31.1,962.5,1610,"03/12/20,17:38:14"
2020-12-04 00:33:56.066785,5.1,31.1,961.1,1591,"03/12/20,17:38:24"
2020-12-04 00:34:06.067074,2.3,31.1,962.4,1619,"03/12/20,17:38:34"
2020-12-04 00:34:16.064126,1.7,31.1,961.2,1602,"03/12/20,17:38:44"
2020-12-04 00:34:26.064826,2.5,31.1,962.2,1593,"03/12/20,17:38:54"
2020-12-04 00:34:36.061948,3.0,31.1,961.1,1575,"03/12/20,17:39:04"
2020-12-04 00:34:46.063296,1.9,31.1,962.4,1587,"03/12/20,17:39:14"
2020-12-04 00:34:56.068426,4.5,31.1,961.0,1592,"03/12/20,17:39:24"
2020-12-04 00:35:06.068438,4.9,31.1,962.4,1600,"03/12/20,17:39:34"
2020-12-04 00:35:16.059972,4.8,31.1,961.2,1596,"03/12/20,17:39:44"
2020-12-04 00:35:26.062780,5.0,31.1,962.3,1585,"03/12/20,17:39:54"
2020-12-04 00:35:36.062198,5.9,31.1,961.2,1576,"03/12/20,17:40:04"
2020-12-04 00:35:46.059174,5.9,31.1,962.5,1594,"03/12/20,17:40:14"
2020-12-04 00:35:56.058445,3.3,31.1,961.0,1576,"03/12/20,17:40:24"
2020-12-04 00:36:06.058494,4.2,31.1,962.6,1580,"03/12/20,17:40:34"
2020-12-04 00:36:16.073837,5.8,31.0,961.3,1576,"03/12/20,17:40:44"
2020-12-04 00:36:26.059332,3.2,31.0,962.3,1568,"03/12/20,17:40:54"
2020-12-04 00:36:36.058620,2.4,31.0,961.1,1593,"03/12/20,17:41:04"
2020-12-04 00:36:46.054978,6.4,31.0,962.3,1585,"03/12/20,17:41:14"
2020-12-04 00:36:56.058401,6.8,31.0,961.0,1592,"03/12/20,17:41:24"
2020-12-04 00:37:06.065269,5.0,31.0,962.3,1599,"03/12/20,17:41:34"
2020-12-04 00:37:16.060979,4.6,31.0,961.0,1608,"03/12/20,17:41:44"
2020-12-04 00:37:26.061160,5.2,31.0,962.5,1566,"03/12/20,17:41:54"
2020-12-04 00:37:36.058515,0.2,31.0,961.2,1605,"03/12/20,17:42:04"
2020-12-04 00:37:46.053298,-3.4,31.0,962.4,1597,"03/12/20,17:42:14"
2020-12-04 00:37:56.052220,4.9,31.0,961.0,1597,"03/12/20,17:42:24"
2020-12-04 00:38:06.051118,8.1,31.0,962.3,1597,"03/12/20,17:42:34"
2020-12-04 00:38:16.055568,2.5,31.0,961.0,1598,"03/12/20,17:42:44"
2020-12-04 00:38:26.058298,2.2,31.0,962.4,1588,"03/12/20,17:42:54"
2020-12-04 00:38:36.049063,4.3,31.0,961.1,1599,"03/12/20,17:43:04"
2020-12-04 00:38:46.052415,4.0,31.0,962.3,1585,"03/12/20,17:43:14"
2020-12-04 00:38:56.052467,0.3,31.0,961.2,1584,"03/12/20,17:43:24"
2020-12-04 00:39:06.049522,-0.8,31.0,962.4,1602,"03/12/20,17:43:34"
2020-12-04 00:39:16.048342,2.3,31.0,961.2,1600,"03/12/20,17:43:44"
2020-12-04 00:39:26.048507,5.3,31.0,962.4,1570,"03/12/20,17:43:54"
2020-12-04 00:39:36.049451,8.1,31.0,961.2,1591,"03/12/20,17:44:04"
2020-12-04 00:39:46.055790,6.6,31.0,962.5,1582,"03/12/20,17:44:14"
2020-12-04 00:39:56.048516,2.8,31.0,961.3,1588,"03/12/20,17:44:24"
2020-12-04 00:40:06.048446,5.4,31.0,962.3,1604,"03/12/20,17:44:34"
2020-12-04 00:40:16.048442,9.3,31.0,961.1,1594,"03/12/20,17:44:44"
2020-12-04 00:40:26.048515,7.9,31.0,962.3,1572,"03/12/20,17:44:54"
2020-12-04 00:40:36.048398,3.7,31.0,961.2,1592,"03/12/20,17:45:04"
2020-12-04 00:40:46.042138,3.7,31.0,962.5,1595,"03/12/20,17:45:14"
2020-12-04 00:40:56.048280,5.0,31.0,961.2,1598,"03/12/20,17:45:24"
2020-12-04 00:41:06.050790,3.8,31.0,962.2,1591,"03/12/20,17:45:34"
2020-12-04 00:41:16.048336,9.4,31.0,961.2,1605,"03/12/20,17:45:44"
2020-12-04 00:41:26.048361,8.8,31.0,962.4,1559,"03/12/20,17:45:54"
2020-12-04 00:41:36.040371,2.8,31.0,961.2,1602,"03/12/20,17:46:04"
2020-12-04 00:41:46.039296,4.9,31.0,962.4,1598,"03/12/20,17:46:14"
2020-12-04 00:41:56.053479,8.6,31.0,961.1,1585,"03/12/20,17:46:24"
2020-12-04 00:42:06.047791,11.0,31.0,962.4,1606,"03/12/20,17:46:34"
2020-12-04 00:42:16.042825,12.2,31.0,961.3,1587,"03/12/20,17:46:44"
2020-12-04 00:42:26.038493,8.9,31.0,962.5,1561,"03/12/20,17:46:54"
2020-12-04 00:42:36.036254,5.7,31.0,961.1,1592,"03/12/20,17:47:04"
2020-12-04 00:42:46.040756,3.8,31.0,962.5,1590,"03/12/20,17:47:14"
2020-12-04 00:42:56.038608,-0.5,31.0,961.3,1595,"03/12/20,17:47:24"
2020-12-04 00:43:06.040138,3.3,31.0,962.5,1612,"03/12/20,17:47:34"
2020-12-04 00:43:16.048312,7.8,31.0,961.2,1607,"03/12/20,17:47:44"
2020-12-04 00:43:26.034596,8.3,31.0,962.4,1568,"03/12/20,17:47:54"
2020-12-04 00:43:36.033469,9.7,31.0,961.2,1597,"03/12/20,17:48:04"
2020-12-04 00:43:46.043348,9.9,31.0,962.6,1591,"03/12/20,17:48:14"
2020-12-04 00:43:56.038395,9.6,31.0,961.3,1598,"03/12/20,17:48:24"
2020-12-04 00:44:06.038303,9.8,31.0,962.5,1601,"03/12/20,17:48:34"
2020-12-04 00:44:16.038416,9.6,31.0,961.5,1610,"03/12/20,17:48:44"
2020-12-04 00:44:26.038417,6.3,31.0,962.3,1576,"03/12/20,17:48:54"
2020-12-04 00:44:36.038333,3.3,31.0,961.4,1597,"03/12/20,17:49:04"
2020-12-04 00:44:46.031422,1.4,31.0,962.4,1599,"03/12/20,17:49:14"
2020-12-04 00:44:56.038337,1.0,31.0,961.2,1588,"03/12/20,17:49:24"
2020-12-04 00:45:06.028702,0.1,31.0,962.3,1606,"03/12/20,17:49:34"
2020-12-04 00:45:16.038369,2.2,31.0,961.3,1600,"03/12/20,17:49:44"
2020-12-04 00:45:26.028579,3.6,31.0,962.6,1575,"03/12/20,17:49:54"
2020-12-04 00:45:36.038311,6.7,31.0,961.3,1598,"03/12/20,17:50:04"
2020-12-04 00:45:46.030558,10.0,31.0,962.6,1581,"03/12/20,17:50:14"
2020-12-04 00:45:56.028434,6.3,31.0,961.2,1595,"03/12/20,17:50:24"
2020-12-04 00:46:06.028679,5.4,31.0,962.5,1601,"03/12/20,17:50:34"
2020-12-04 00:46:16.038304,3.7,31.0,961.2,1599,"03/12/20,17:50:44"
2020-12-04 00:46:26.024842,4.1,31.0,962.5,1584,"03/12/20,17:50:54"
2020-12-04 00:46:36.028516,6.1,31.0,961.3,1594,"03/12/20,17:51:04"
2020-12-04 00:46:46.034438,7.4,31.0,962.5,1579,"03/12/20,17:51:14"
2020-12-04 00:46:56.028607,4.6,30.9,961.3,1582,"03/12/20,17:51:24"
2020-12-04 00:47:06.022987,0.2,30.9,962.5,1593,"03/12/20,17:51:34"
2020-12-04 00:47:16.028406,1.7,31.0,961.3,1591,"03/12/20,17:51:44"
2020-12-04 00:47:26.022510,4.4,31.0,962.6,1599,"03/12/20,17:51:54"
2020-12-04 00:47:36.028294,3.7,31.0,961.5,1603,"03/12/20,17:52:04"
2020-12-04 00:47:46.021071,3.9,31.0,962.5,1605,"03/12/20,17:52:14"
2020-12-04 00:47:56.028403,6.7,31.0,961.1,1598,"03/12/20,17:52:24"
2020-12-04 00:48:06.032098,4.7,31.0,962.5,1587,"03/12/20,17:52:34"
2020-12-04 00:48:16.019049,4.8,31.0,961.2,1589,"03/12/20,17:52:44"
2020-12-04 00:48:26.018564,6.1,31.0,962.5,1584,"03/12/20,17:52:54"
2020-12-04 00:48:36.018436,4.3,31.0,961.5,1592,"03/12/20,17:53:04"
2020-12-04 00:48:46.018442,3.0,31.0,962.5,1605,"03/12/20,17:53:14"
2020-12-04 00:48:56.028333,0.4,31.0,961.3,1597,"03/12/20,17:53:24"
2020-12-04 00:49:06.017021,0.9,31.0,962.7,1613,"03/12/20,17:53:34"
2020-12-04 00:49:16.018493,2.1,31.0,961.3,1608,"03/12/20,17:53:44"
2020-12-04 00:49:26.018173,1.6,31.0,962.5,1586,"03/12/20,17:53:54"
2020-12-04 00:49:36.018495,5.0,31.0,961.3,1593,"03/12/20,17:54:04"
2020-12-04 00:49:46.018443,4.3,31.0,962.6,1598,"03/12/20,17:54:14"
2020-12-04 00:49:56.018469,0.5,31.0,961.5,1575,"03/12/20,17:54:24"
2020-12-04 00:50:06.018504,3.4,31.0,962.7,1592,"03/12/20,17:54:34"
2020-12-04 00:50:16.012069,6.4,30.9,961.4,1587,"03/12/20,17:54:44"
2020-12-04 00:50:26.018425,5.4,30.9,962.7,1587,"03/12/20,17:54:54"
2020-12-04 00:50:36.014158,3.9,30.9,961.4,1585,"03/12/20,17:55:04"
2020-12-04 00:50:46.018331,1.0,30.9,962.7,1577,"03/12/20,17:55:14"
2020-12-04 00:50:56.018441,2.4,30.9,961.3,1590,"03/12/20,17:55:24"
2020-12-04 00:51:06.009107,3.9,30.9,962.6,1600,"03/12/20,17:55:34"
2020-12-04 00:51:16.009241,3.6,30.9,961.5,1583,"03/12/20,17:55:44"
2020-12-04 00:51:26.016275,6.0,30.9,962.8,1604,"03/12/20,17:55:54"
